county_name,percent_for_clinton,median_age,mean_savings,per_capita_income,percent_in_poverty,percent_veterans,percent_female,population_density,percent_in_nursing_homes,crime_index_PC,state,color,region,bush_perc,clinton_perc,clinton_win
Autauga,30.92,31.7,57623,15768,15.2,10.74,51.41,60.4,2.36,457,AL,Bush,Southeast,55.92,30.92,FALSE
Baldwin,26.24,35.5,84935,16954,13.6,9.73,51.34,66.5,5.4,282,AL,Bush,Southeast,56.52,26.24,FALSE
Barbour,46.36,32.8,83656,15532,25,8.82,53.03,28.8,7.02,47,AL,Bush,Southeast,42.9,46.36,TRUE
Blount,32.92,34.5,61249,14820,15,9.67,51.15,62.4,2.36,185,AL,Bush,Southeast,53.81,32.92,FALSE
Bullock,67.67,31.7,75725,11120,33,7.08,50.76,17.6,2.91,141,AL,Bush,Southeast,26.02,67.67,TRUE
Butler,47.43,33.5,75887,12015,27.1,9.48,53.25,28.1,7.98,266,AL,Bush,Southeast,41.21,47.43,TRUE
Calhoun,38.44,32.7,76073,15162,18,11.95,51.66,190.8,4.81,560,AL,Bush,Southeast,48.18,38.44,FALSE
Chambers,45.36,34.8,40498,13887,18.8,10.52,52.77,62.1,6.15,218,AL,Bush,Southeast,43.4,45.36,TRUE
Cherokee,53.61,36.3,56386,13936,15.4,9.29,50.82,35.8,5.61,51,AL,Bush,Southeast,34.85,53.61,TRUE
Chilton,34.19,34,52230,14036,18.6,9.48,51.41,47.8,3.58,296,AL,Bush,Southeast,56.17,34.19,FALSE
Choctaw,52.13,32.9,81367,13423,25,9.94,52.54,17.6,4.16,29,AL,Bush,Southeast,40.6,52.13,TRUE
Clarke,42.87,31.7,87444,13750,24.4,8.79,52.18,22.4,5.07,105,AL,Bush,Southeast,46.9,42.87,FALSE
Cleburne,40.94,34.1,63458,14168,15.6,8.58,50.71,23.2,5,203,AL,Bush,Southeast,46.31,40.94,FALSE
Coffee,37.19,34.1,79268,17318,14.9,10.4,50.99,60.5,5.72,357,AL,Bush,Southeast,48.87,37.19,FALSE
Colbert,54.4,35.7,71629,15705,15.3,11.87,51.97,88,5.43,330,AL,Bush,Southeast,35.98,54.4,TRUE
Conecuh,50.02,34.5,49065,12876,27.4,8.9,52.67,16.6,3.62,171,AL,Bush,Southeast,39.05,50.02,TRUE
Covington,35.84,36.2,104307,13921,21.6,11.67,52.74,35.7,4.82,239,AL,Bush,Southeast,48.99,35.84,FALSE
Crenshaw,45.44,35.9,77907,13247,22.8,8.99,52.61,22.1,10.07,165,AL,Bush,Southeast,44.22,45.44,TRUE
Cullman,35.98,34.8,67879,15261,15.4,10.07,51.4,94.4,6.43,247,AL,Bush,Southeast,49.62,35.98,FALSE
Dale,32.29,29.1,43261,14569,17.2,10.15,49.65,88.9,4.71,201,AL,Bush,Southeast,51.45,32.29,FALSE
Dallas,56.38,31.1,68101,13574,34.2,10.31,54.38,48.9,5.48,794,AL,Bush,Southeast,37.72,56.38,TRUE
Elmore,30.52,32.9,55540,14789,15.9,10.45,49.22,84.3,5.29,357,AL,Bush,Southeast,55.7,30.52,FALSE
Escambia,37.5,33.9,90379,13184,24.4,11.08,50.63,38,2.72,161,AL,Bush,Southeast,46.44,37.5,FALSE
Etowah,48.43,36,69920,15324,17.9,12.35,52.6,186.8,9.34,616,AL,Bush,Southeast,41.15,48.43,TRUE
Fayette,45.22,35.6,83058,13404,18.6,9.34,52.22,28.8,11.16,113,AL,Bush,Southeast,42.55,45.22,TRUE
Franklin,50.2,35.8,107673,14777,18.1,8.84,52.18,44.7,7.39,99,AL,Bush,Southeast,40.43,50.2,TRUE
Geneva,36.71,36.4,89634,15339,19.4,10.52,51.8,41.8,3.49,142,AL,Bush,Southeast,49.08,36.71,FALSE
Greene,79.18,31.3,27496,11165,38.8,6.01,54.17,15.8,5.1,416,AL,Bush,Southeast,16.49,79.18,TRUE
Hale,57.8,31.8,65003,11509,31.4,6.96,53.35,24.7,9.94,122,AL,Bush,Southeast,33.22,57.8,TRUE
Henry,43.15,35.4,99412,14658,19.1,9.33,52.73,27.8,5.06,183,AL,Bush,Southeast,45.7,43.15,FALSE
Houston,29.76,33.1,107388,17412,18,9.94,52.5,143.5,2.59,587,AL,Bush,Southeast,58.33,29.76,FALSE
Jackson,56.19,34.6,65230,15484,16.1,11.11,51.68,45.3,2.97,250,AL,Bush,Southeast,30.19,56.19,TRUE
Jefferson,42.12,34.1,131030,19892,18.6,12.71,53.24,589.7,5.3,740,AL,Bush,Southeast,50.13,42.12,FALSE
Lauderdale,47.21,34.7,90707,16058,13.9,11.24,52.23,122,6.67,283,AL,Bush,Southeast,40.67,47.21,TRUE
Lawrence,54.91,32,32426,13763,17.8,7.19,50.8,46.4,3.82,108,AL,Bush,Southeast,30.86,54.91,TRUE
Lee,38.8,26.2,72622,14458,18.5,8.1,50.18,146.8,4.36,609,AL,Bush,Southeast,47.58,38.8,FALSE
Limestone,37.45,32.8,43175,16384,14.6,8.31,50.09,99.8,3.88,189,AL,Bush,Southeast,45.66,37.45,FALSE
Macon,82.78,28.9,37611,11402,35.3,11.53,53.59,40.1,8.12,669,AL,Bush,Southeast,12.94,82.78,TRUE
Madison,36.14,31.9,69070,21029,12.9,10.5,50.74,310.9,2.48,722,AL,Bush,Southeast,47.71,36.14,FALSE
Marengo,50.09,32.5,98897,13908,28.4,9.44,52.76,23.8,5.62,387,AL,Bush,Southeast,39.75,50.09,TRUE
Marion,46.47,35.7,106725,13238,18,9.49,51.01,40.1,6.03,71,AL,Bush,Southeast,42.89,46.47,TRUE
Marshall,39.01,35.3,100160,15857,14.7,10.25,52.16,129.3,4.6,381,AL,Bush,Southeast,45.85,39.01,FALSE
Mobile,38.22,31.9,72077,15569,24.3,10.95,52.56,314.7,4.53,709,AL,Bush,Southeast,50.72,38.22,FALSE
Monroe,39.73,31.4,76753,13997,21.6,8.75,51.67,23.4,5.38,164,AL,Bush,Southeast,50.48,39.73,FALSE
Montgomery,43.34,31.6,107844,19618,20.4,10.63,52.83,270.9,5.42,631,AL,Bush,Southeast,47.29,43.34,FALSE
Morgan,34.31,33.6,73523,18164,12.9,9.74,51.27,177.8,5.76,443,AL,Bush,Southeast,47.92,34.31,FALSE
Perry,63.86,30.2,62737,10986,42.4,7.97,53.52,17.2,9.76,402,AL,Bush,Southeast,31.46,63.86,TRUE
Pickens,46.46,34.3,74484,12687,25.7,8.45,53.2,23.7,7.7,181,AL,Bush,Southeast,44.63,46.46,TRUE
Pike,41.88,29.9,118415,14447,25.6,8.65,53.07,41.9,6.26,114,AL,Bush,Southeast,48.45,41.88,FALSE
Randolph,40.7,34.9,76144,13064,18.5,9.96,51.74,34.8,6.83,139,AL,Bush,Southeast,46.77,40.7,FALSE
Russell,55.12,33,42769,13664,20.4,10.1,52.17,76.4,4.92,473,AL,Bush,Southeast,35.61,55.12,TRUE
St. Clair,30.14,33.5,37438,13994,16.2,9.17,49.65,83.4,4.44,157,AL,Bush,Southeast,57.56,30.14,FALSE
Shelby,21.42,31.5,41609,20445,8.1,7.34,50.92,134.6,2.06,79,AL,Bush,Southeast,67.97,21.42,FALSE
Sumter,68.47,28.9,43536,11611,35.2,6.38,53.69,17.9,6.36,231,AL,Bush,Southeast,25.72,68.47,TRUE
Talladega,40.72,33,50652,13299,22.3,9.74,51.69,101.3,5.26,95,AL,Bush,Southeast,48.21,40.72,FALSE
Tallapoosa,36.9,35.5,94605,15961,18,9.92,52.82,54.6,12.17,187,AL,Bush,Southeast,52.67,36.9,FALSE
Tuscaloosa,40.46,30.6,63784,16035,19.3,9.76,51.72,115.9,7.05,793,AL,Bush,Southeast,47.27,40.46,FALSE
Walker,50.22,35,74034,15598,17.7,10.83,51.95,86.1,7.06,253,AL,Bush,Southeast,38.26,50.22,TRUE
Wilcox,64.84,30.4,58132,10300,41.3,6.9,53.37,15.4,5.4,46,AL,Bush,Southeast,31.5,64.84,TRUE
Winston,33.85,35.5,96317,13674,16.2,9.26,51.16,36.3,12.78,151,AL,Bush,Southeast,55.01,33.85,FALSE
Apache,61.44,23.4,14062,9805,40.8,4.86,50.81,5.6,1.02,73,AZ,Bush,West,25.13,61.44,TRUE
Cochise,38.31,32.6,54901,14288,21.9,12.09,49.6,16.3,3.57,343,AZ,Bush,West,36.81,38.31,TRUE
Gila,40.97,38.8,74724,13832,21.3,12.06,51.14,8.9,7.42,370,AZ,Bush,West,31.29,40.97,TRUE
Graham,34.96,29.4,49789,11037,26.1,9.26,48.61,6,4.28,241,AZ,Bush,West,42.98,34.96,FALSE
Maricopa,32.56,32,90041,19451,16,9.55,50.86,240.4,3.18,760,AZ,Bush,West,41.06,32.56,FALSE
Mohave,32.63,40.7,74282,14589,17.7,9.32,50.17,7.9,2.95,625,AZ,Bush,West,33.69,32.63,FALSE
Navajo,44.17,26.5,33766,10568,31.2,6.71,50.23,8.1,1.54,310,AZ,Bush,West,32.45,44.17,TRUE
Pima,45.68,32.8,65541,16747,19,11.02,50.94,75.3,3.32,854,AZ,Bush,West,34.47,45.68,TRUE
Pinal,42.1,32.6,44067,12724,25.7,9.45,48.66,22.4,2.72,563,AZ,Bush,West,31.76,42.1,TRUE
Santa Cruz,43.47,29.5,128167,12100,27.4,5.4,52.17,26.2,1.33,600,AZ,Bush,West,37.43,43.47,TRUE
Yavapai,30.75,42.4,95144,15378,15,9.69,51.07,14.3,6.25,337,AZ,Bush,West,39.42,30.75,FALSE
Yuma,36.97,30.5,60526,13091,28,9.48,49.01,21.5,3.3,63,AZ,Bush,West,41.55,36.97,FALSE
Arkansas,59.01,35.5,177652,15327,19.6,12.91,52.74,21.6,13.08,457,AR,Clinton,Southeast,32.51,59.01,TRUE
Ashley,61.42,33.9,74124,15044,21.3,11.9,52.08,26.7,10.77,373,AR,Clinton,Southeast,28.08,61.42,TRUE
Baxter,44.44,47.1,121231,15577,14.9,12.29,52.25,58.8,7.45,109,AR,Clinton,Southeast,35.85,44.44,TRUE
Benton,36.45,35.9,97252,18124,9.8,10,51.18,125.2,5.76,345,AR,Clinton,Southeast,48.81,36.45,FALSE
Boone,42.45,36.5,62629,14605,14.2,11.15,52.07,49.6,13.24,168,AR,Clinton,Southeast,42.21,42.45,TRUE
Bradley,61.07,36.6,132909,14936,23.8,10.22,52.44,17.8,16.72,304,AR,Clinton,Southeast,30.64,61.07,TRUE
Calhoun,51.41,34.3,49484,12475,17.9,10.16,51.73,9.1,9.47,160,AR,Clinton,Southeast,38.75,51.41,TRUE
Carroll,42.55,38.1,133734,14860,14.6,10.97,51.66,30.8,6.51,285,AR,Clinton,Southeast,39.91,42.55,TRUE
Chicot,68.72,31.9,76209,12669,38.8,7.3,53.29,24.4,4.33,417,AR,Clinton,Southeast,24.36,68.72,TRUE
Clark,64.64,32.2,119620,13403,20.6,11.22,52.48,24.8,10.88,202,AR,Clinton,Southeast,26.93,64.64,TRUE
Clay,68.47,39.5,80249,13406,19,12.39,52.09,28,10.34,142,AR,Clinton,Southeast,23.26,68.47,TRUE
Cleburne,51,41.7,105408,13970,16.7,11.71,51.46,36.7,10.54,219,AR,Clinton,Southeast,35.87,51,TRUE
Cleveland,56.04,35.7,26922,12675,17.2,11.14,51.39,13.2,9.37,54,AR,Clinton,Southeast,33.36,56.04,TRUE
Columbia,48.35,33.6,155722,14294,23.6,9.75,53.08,33.5,9.81,232,AR,Clinton,Southeast,37.7,48.35,TRUE
Conway,57.75,34.7,59808,14486,18.5,12.49,52.17,34.7,9.43,177,AR,Clinton,Southeast,32.06,57.75,TRUE
Craighead,54.43,31.6,87122,15310,16.8,9.13,51.85,99.9,8.46,445,AR,Clinton,Southeast,35.57,54.43,TRUE
Crawford,41.18,32.6,60472,12673,18,10.37,51.09,74.4,11.87,297,AR,Clinton,Southeast,42.57,41.18,FALSE
Crittenden,56.6,29.8,47128,14202,28,8.9,52.88,81.2,4.62,513,AR,Clinton,Southeast,34.55,56.6,TRUE
Cross,58.09,32.2,105683,13750,24.9,9.14,51.97,31.2,7.86,242,AR,Clinton,Southeast,32.97,58.09,TRUE
Dallas,53.68,36.4,90482,14782,21.3,11.05,52.12,14.2,19.05,296,AR,Clinton,Southeast,37.15,53.68,TRUE
Desha,67.87,31.5,98155,13154,30.6,9.64,53.29,21.3,10.98,523,AR,Clinton,Southeast,22.75,67.87,TRUE
Drew,59.51,31.8,84350,13477,19.6,10.36,51.7,20.8,8.02,123,AR,Clinton,Southeast,30.77,59.51,TRUE
Faulkner,51.56,29.8,60028,15191,12.3,8.51,51.62,99.3,3.34,391,AR,Clinton,Southeast,37.64,51.56,TRUE
Franklin,47.76,35.4,84306,12860,15.9,12.57,50.38,24.9,9.08,188,AR,Clinton,Southeast,37.04,47.76,TRUE
Fulton,59.69,40.6,86435,10690,25.6,14.65,52,16.2,11.4,149,AR,Clinton,Southeast,26.56,59.69,TRUE
Garland,52.26,40.8,95715,17457,17.9,13.66,52.32,112.1,8.38,554,AR,Clinton,Southeast,35.8,52.26,TRUE
Grant,51.47,34.4,40619,14534,13,11.86,50.75,22.8,7.5,208,AR,Clinton,Southeast,36.66,51.47,TRUE
Greene,61.2,35.5,87692,13029,16.4,10.61,51.59,56.8,7.47,265,AR,Clinton,Southeast,28.49,61.2,TRUE
Hempstead,61.38,34.3,116516,13034,23.3,10.93,52.43,30.2,8.82,437,AR,Clinton,Southeast,26.75,61.38,TRUE
Hot Spring,59.42,36.4,89702,12622,18.6,12.24,51.71,42.9,9.39,299,AR,Clinton,Southeast,28.6,59.42,TRUE
Howard,55.56,34.5,109796,15854,17.5,9.15,51.86,23.3,25.99,151,AR,Clinton,Southeast,34.73,55.56,TRUE
Independence,55.16,34.8,101619,14704,16.5,11.48,51.38,41.4,7.97,335,AR,Clinton,Southeast,32.96,55.16,TRUE
Izard,61.18,43.9,97572,12867,21.1,12.57,51.04,20.3,16.61,49,AR,Clinton,Southeast,27.42,61.18,TRUE
Jackson,65.71,36.7,79717,14215,23.9,11.42,52.21,29.8,12.43,280,AR,Clinton,Southeast,24.77,65.71,TRUE
Jefferson,68.85,31.9,93840,14208,27.6,11.59,51.86,96.2,8.17,594,AR,Clinton,Southeast,23.74,68.85,TRUE
Johnson,52.14,35.3,80327,12801,18,12.1,51.14,28.2,8.88,236,AR,Clinton,Southeast,33.82,52.14,TRUE
Lafayette,57.12,35.1,102237,11796,30,9.03,52.41,17.9,11.06,136,AR,Clinton,Southeast,29.86,57.12,TRUE
Lawrence,59.84,36.7,81939,12210,23.8,10.53,51.95,29.7,14.43,128,AR,Clinton,Southeast,30.65,59.84,TRUE
Lee,67.82,31.9,45369,11213,45.4,7.94,52.1,21.4,6.51,471,AR,Clinton,Southeast,25.52,67.82,TRUE
Lincoln,64.53,32.2,39478,10859,29,8.95,41.04,24.8,10.58,60,AR,Clinton,Southeast,26.27,64.53,TRUE
Little River,58.18,33.8,73347,14504,19.1,11.83,51.47,25.8,10.51,206,AR,Clinton,Southeast,25.94,58.18,TRUE
Logan,45.99,35.3,82325,13428,18.7,11.8,50.65,29.3,15.48,89,AR,Clinton,Southeast,39.23,45.99,TRUE
Lonoke,50.32,32.5,65589,15744,14.2,9.02,50.83,53.4,11.64,215,AR,Clinton,Southeast,39.52,50.32,TRUE
Madison,45.76,36,69156,13857,17.3,11.61,50.84,14.7,5.61,108,AR,Clinton,Southeast,42.41,45.76,TRUE
Marion,44.15,42.7,70869,12902,19.1,13.59,51.16,20.9,7.76,127,AR,Clinton,Southeast,32.39,44.15,TRUE
Miller,48.21,32.7,117603,13585,22.8,11.18,52.29,61.8,8.63,881,AR,Clinton,Southeast,36.06,48.21,TRUE
Mississippi,62.94,29.4,62732,13954,26.2,9.06,51.81,61.2,6.78,822,AR,Clinton,Southeast,29.43,62.94,TRUE
Monroe,60.35,34.5,106861,13899,33,11.48,53.01,18,10.55,294,AR,Clinton,Southeast,30.99,60.35,TRUE
Montgomery,51.29,40.1,54338,12035,22.5,13.63,50.68,10.2,6.88,180,AR,Clinton,Southeast,32.46,51.29,TRUE
Nevada,56.79,35.6,70636,12803,19.9,11.44,52.27,16.1,17.1,74,AR,Clinton,Southeast,30.83,56.79,TRUE
Newton,42.59,35.7,47612,10483,26.3,12.17,49.95,9.2,5.53,30,AR,Clinton,Southeast,41.75,42.59,TRUE
Ouachita,59.69,35.2,71745,14052,22.1,11.88,52.83,40.4,11.86,442,AR,Clinton,Southeast,29.89,59.69,TRUE
Perry,54.39,36.4,55942,12829,16.7,10.89,50.99,15.1,9.04,92,AR,Clinton,Southeast,33.16,54.39,TRUE
Phillips,65.63,30.8,88659,12440,42.7,9.3,54.29,40.6,9.47,464,AR,Clinton,Southeast,27.4,65.63,TRUE
Pike,51.23,36.4,130671,14460,17.4,12.27,51.18,16.6,14.1,71,AR,Clinton,Southeast,37.26,51.23,TRUE
Poinsett,62.31,34.6,89898,13199,26.6,11.03,51.9,32.2,7.21,184,AR,Clinton,Southeast,28.29,62.31,TRUE
Polk,43.81,38,87606,13423,21,14.06,51.22,20.6,9.72,169,AR,Clinton,Southeast,38.2,43.81,TRUE
Pope,43.13,31.8,83848,15627,16,9.9,50.59,59.2,8.75,309,AR,Clinton,Southeast,45.1,43.13,FALSE
Pulaski,58.03,32.4,105797,20027,17.1,12.57,52.52,458,5.73,1130,AR,Clinton,Southeast,34.89,58.03,TRUE
Randolph,62.1,36.6,60560,11488,21.4,11.69,51.61,25.9,10.47,146,AR,Clinton,Southeast,27.97,62.1,TRUE
St. Francis,61.57,31,59719,12171,35.7,8.24,53.46,44.5,11.35,771,AR,Clinton,Southeast,30.93,61.57,TRUE
Saline,49.38,33.4,35739,15059,9.3,10.63,50.47,92.6,8.78,365,AR,Clinton,Southeast,39.38,49.38,TRUE
Scott,48.84,36.2,92731,12566,21.1,10.9,50.81,11.6,10,97,AR,Clinton,Southeast,37.15,48.84,TRUE
Sebastian,41.78,33.7,110853,18033,15.4,13.35,52.14,189.2,7.7,626,AR,Clinton,Southeast,42.4,41.78,FALSE
Sevier,51.05,34.9,96997,14560,19.4,13.04,50.4,25.4,11.96,296,AR,Clinton,Southeast,31.77,51.05,TRUE
Sharp,52.27,44.8,114766,12013,20.6,13.32,52.25,24.8,13.73,145,AR,Clinton,Southeast,34.55,52.27,TRUE
Stone,52.03,39.2,62499,12046,23.9,9.64,50.93,16.8,9.02,112,AR,Clinton,Southeast,33.18,52.03,TRUE
Union,47.29,34.5,113471,17626,19.2,11.76,52.7,44.9,12.73,475,AR,Clinton,Southeast,39.32,47.29,TRUE
Van Buren,51.88,43.2,86181,12238,21.6,14.25,50.76,20,7.32,197,AR,Clinton,Southeast,35.48,51.88,TRUE
Washington,46.01,30.8,97273,16784,11.7,10.15,50.51,126.4,6.11,429,AR,Clinton,Southeast,42.38,46.01,TRUE
White,48.67,33.1,90898,13283,17.9,9.43,51.36,55,7.33,290,AR,Clinton,Southeast,39.6,48.67,TRUE
Woodruff,74.08,34.3,98385,14331,31.8,9.55,52.87,15.7,12.61,59,AR,Clinton,Southeast,19.34,74.08,TRUE
Yell,54.49,35.6,108440,14876,16.9,11.31,51.28,19.5,13.7,317,AR,Clinton,Southeast,32.79,54.49,TRUE
Alameda,63.04,32.7,76414,23707,12.3,11.3,55.39,1774.1,4.01,837,CA,Clinton,West,20.62,63.04,TRUE
Amador,34.25,37.9,92568,16612,9.5,10.46,44.53,53.8,5.64,243,CA,Clinton,West,35.49,34.25,FALSE
Butte,38.22,33.8,61001,16197,19,10.72,51.18,115.5,3.71,538,CA,Clinton,West,37.18,38.22,TRUE
Calaveras,35.25,39.5,48330,16325,11.5,9.9,50.29,34.6,3.68,351,CA,Clinton,West,35.35,35.25,FALSE
Colusa,31.91,32.1,107363,19360,17.4,9.31,48.74,14.7,3.2,389,CA,Clinton,West,45.94,31.91,FALSE
Contra Costa,50.93,34.1,106163,27158,9,11.37,50.99,1166,2.88,606,CA,Clinton,West,29.51,50.93,TRUE
Del Norte,38.91,32.3,36592,12792,19.9,10.38,44.54,26.4,3.05,371,CA,Clinton,West,32.96,38.91,TRUE
El Dorado,32.38,35.3,40039,20424,8.5,10.21,49.92,80.3,1.95,379,CA,Clinton,West,39.92,32.38,FALSE
Fresno,42.17,29.3,59965,16854,28.1,8.47,50.38,118.4,4.26,910,CA,Clinton,West,40.67,42.17,TRUE
Glenn,30.24,32.6,82020,14674,19.5,10.49,49.89,19.4,2.9,380,CA,Clinton,West,43.24,30.24,FALSE
Humboldt,48.07,33.1,66404,16831,17.3,12.57,50.29,34.1,4.23,534,CA,Clinton,West,30.49,48.07,TRUE
Imperial,43.88,28.8,59797,13987,28.6,6.64,49.98,30.8,1.84,690,CA,Clinton,West,38.55,43.88,TRUE
Inyo,31.84,39,73921,18100,12.8,15.95,51.03,1.8,4.67,322,CA,Clinton,West,43.58,31.84,FALSE
Kern,33.75,29.7,44347,15963,21.8,8.55,49.4,72.2,2.43,648,CA,Clinton,West,45.05,33.75,FALSE
Kings,38.91,28.1,43635,13191,22.5,6.83,45.78,76.9,2.57,437,CA,Clinton,West,41.61,38.91,FALSE
Lassen,32.7,31.9,47613,14409,15.6,12.58,42.19,6.1,4.39,221,CA,Clinton,West,37.02,32.7,FALSE
Los Angeles,52.54,30.7,88044,21577,23.8,9.66,50.14,2233.5,3.55,762,CA,Clinton,West,29.04,52.54,TRUE
Madera,35.92,31.9,38324,15024,20.9,7.59,48.52,46.2,3.69,521,CA,Clinton,West,43.2,35.92,FALSE
Marin,58.27,38.1,105449,37387,6.4,14.66,50.2,449.2,5.18,398,CA,Clinton,West,23.32,58.27,TRUE
Mendocino,50.21,35.6,79473,17246,16.8,12.32,50.02,23.3,4.71,471,CA,Clinton,West,21.78,50.21,TRUE
Merced,40.85,27.9,42895,14962,24.5,7.67,49.21,98.1,2.26,509,CA,Clinton,West,36.48,40.85,TRUE
Modoc,32.19,37.2,74228,14472,18.2,11.78,48.96,2.5,6.12,231,CA,Clinton,West,38.98,32.19,FALSE
Monterey,47.01,29.6,64775,21143,16.1,9.85,48.48,111,2.84,533,CA,Clinton,West,31.25,47.01,TRUE
Napa,45.3,36.4,93299,24461,9.2,13.87,50.69,150.9,7.9,480,CA,Clinton,West,29.3,45.3,TRUE
Nevada,34.92,39.3,72156,18855,9.5,10.14,50.77,87,3.17,334,CA,Clinton,West,39.24,34.92,FALSE
Orange,31.56,31.4,82212,24996,12.6,10.7,52.17,3147.8,2.49,571,CA,Clinton,West,43.87,31.56,FALSE
Placer,33.69,35.1,73442,22748,8.5,9.72,50.56,133.2,3.64,463,CA,Clinton,West,41.92,33.69,FALSE
Plumas,37.61,39,75850,17503,11.5,14.41,50.12,8.1,3.93,559,CA,Clinton,West,36.17,37.61,TRUE
Riverside,38.64,31.5,41389,17969,15,7.31,50.11,179,2.48,738,CA,Clinton,West,37.06,38.64,TRUE
Sacramento,43.56,31.9,62605,20397,16.3,11.14,51.2,1130.3,3.05,763,CA,Clinton,West,35.36,43.56,TRUE
San Benito,42.03,30.3,60184,17122,12.9,7.12,49.27,27.7,2.88,428,CA,Clinton,West,32.28,42.03,TRUE
San Bernardino,38.74,29.3,31179,16388,17.5,8.15,50.05,76.4,2.4,691,CA,Clinton,West,37.24,38.74,TRUE
San Diego,37.24,30.9,68605,20689,16.3,10.3,52.7,618.8,2.73,660,CA,Clinton,West,35.69,37.24,TRUE
San Francisco,72.4,35.8,360313,31918,13.5,11.39,53.45,15621,3.9,1082,CA,Clinton,West,17.8,72.4,TRUE
San Joaquin,41.28,30.9,66194,17138,18.8,8.56,49.23,360.2,4.02,815,CA,Clinton,West,37.84,41.28,TRUE
San Luis Obispo,38.36,33.1,67268,18261,12.7,10.01,48.53,66.8,3.7,383,CA,Clinton,West,34.78,38.36,TRUE
San Mateo,53.97,34.8,88188,30531,6.9,12.71,50.85,1476.7,3.41,447,CA,Clinton,West,27.15,53.97,TRUE
Santa Barbara,42.53,31.6,90068,23680,14.5,11.01,49.36,137.5,2.79,503,CA,Clinton,West,35.25,42.53,TRUE
Santa Clara,49.21,31.9,92634,26772,9.2,11.42,55.09,1183.1,2.92,489,CA,Clinton,West,28.38,49.21,TRUE
Santa Cruz,58.06,33,64480,23076,13.8,10.33,50.03,519.2,4.31,608,CA,Clinton,West,21.86,58.06,TRUE
Shasta,31.61,34.9,70305,17292,15.9,11.18,50.97,41.6,3.29,469,CA,Clinton,West,41.24,31.61,FALSE
Siskiyou,39.91,37.3,83006,15864,16.6,14.49,50.65,7,3.24,403,CA,Clinton,West,32.21,39.91,TRUE
Solano,48.69,30.8,43141,18901,9.7,10.11,50.17,435.3,2.75,628,CA,Clinton,West,29.43,48.69,TRUE
Sonoma,52.78,34.8,72064,22928,10.4,10.88,50.82,255.4,3.86,490,CA,Clinton,West,24.09,52.78,TRUE
Stanislaus,40.95,30.5,57185,16787,17.2,8.09,50.41,264.4,4.41,668,CA,Clinton,West,36.93,40.95,TRUE
Sutter,30.48,32.4,60863,18574,15.6,9.8,50.42,115.1,2.35,539,CA,Clinton,West,50.1,30.48,FALSE
Tehama,35.79,36,64007,14062,18.2,11.27,50.72,17.6,3.23,517,CA,Clinton,West,35.36,35.79,TRUE
Tulare,35.22,29.2,54247,15342,28.2,7.65,49.96,68.7,2.87,632,CA,Clinton,West,45.71,35.22,FALSE
Tuolumne,38.12,37.2,75885,16919,12,10.67,47.37,22.6,1.32,387,CA,Clinton,West,35.26,38.12,TRUE
Ventura,36.99,31.7,57175,21837,11.1,10.52,50.39,372,1.88,439,CA,Clinton,West,35.46,36.99,TRUE
Yolo,53.33,28.9,72646,19586,16.6,8.97,49.59,143.2,4.95,712,CA,Clinton,West,28.15,53.33,TRUE
Yuba,34.24,29.2,37114,13956,21.1,10.26,49.96,96.3,1.37,622,CA,Clinton,West,43.4,34.24,FALSE
Adams,44,30.7,23650,16715,12.9,12.83,50.27,235.1,3.76,692,CO,Clinton,West,29.93,44,TRUE
Alamosa,41.76,28.1,65165,13935,24,8.3,50.76,19.2,7.84,650,CO,Clinton,West,34.05,41.76,TRUE
Arapahoe,36.21,32.4,59827,24963,6.7,10.83,51.16,523.7,2.83,654,CO,Clinton,West,39.26,36.21,FALSE
Bent,43.64,39.1,83252,16563,20,25.04,48.09,3.3,11.2,226,CO,Clinton,West,33.63,43.64,TRUE
Boulder,50.93,31.6,66155,23661,8.3,9.77,49.97,320.5,2.62,563,CO,Clinton,West,26.47,50.93,TRUE
Chaffee,36.36,37.1,34978,14582,14.1,15.47,46.14,12.7,7.98,391,CO,Clinton,West,38.51,36.36,FALSE
Cheyenne,24.83,32,252148,22942,9.9,9.6,49.12,1.4,12,144,CO,Clinton,West,50.74,24.83,FALSE
Crowley,39.09,34.2,33100,12074,30.9,9.75,37.53,5.1,12.5,20,CO,Clinton,West,41.29,39.09,FALSE
Delta,32.63,40.7,64889,14386,17.4,12.26,50.25,19.3,14.43,270,CO,Clinton,West,41.54,32.63,FALSE
Denver,55.97,33.9,159683,24184,18,14.01,51.3,3162.4,4.92,861,CO,Clinton,West,25.5,56.13,TRUE
Douglas,24.94,32.3,31325,26345,2.8,5.23,49.7,87,1,233,CO,Clinton,West,46.41,24.94,FALSE
Elbert,24.52,33.8,20518,19050,6.1,8.99,49.91,5.8,2.96,144,CO,Clinton,West,43.71,24.52,FALSE
El Paso,27.41,30.2,46370,18342,12.1,10.97,49.74,197.8,3.19,562,CO,Clinton,West,51.47,27.41,FALSE
Fremont,35.4,37.7,55091,13374,17.4,13.29,48.04,21.5,17.94,373,CO,Clinton,West,39.4,35.4,FALSE
Garfield,36.36,32.8,85107,17552,10.4,9.7,49.03,10.6,7.85,403,CO,Clinton,West,31.51,36.36,TRUE
Gunnison,41.48,28.2,75537,15395,12.2,10.89,46.78,3.3,3.89,866,CO,Clinton,West,28.86,41.48,TRUE
